Order Date,Ship Date,QB Num,P. O. #,Name,Qty(+),Qty(-),Item,Inventory Site,Remark,Pre/Bare
2025/10/01,2025/10/29,SO-20251406,QTD_UIUC-250908,University of Illinois,0,2.0,Cbl-MHF-RP_SMAF-15CM,WH01S-NTA,,Out
2025/03/05,2025/10/24,SO-20250326,PO208679,Noah Medical U.S.,0,10.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2025/12/26,SO-20250327,PO208679,Noah Medical U.S.,0,10.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2026/02/20,SO-20250328,PO208679,Noah Medical U.S.,0,10.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2026/04/24,SO-20250329,PO208679,Noah Medical U.S.,0,6.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2026/04/24,SO-20250329,PO208679,Noah Medical U.S.,0,4.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2026/06/24,SO-20250330,PO208679,Noah Medical U.S.,0,10.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2026/08/25,SO-20250331,PO208679,Noah Medical U.S.,0,10.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/03/05,2025/12/26,SO-20250332,PO208679,Noah Medical U.S.,0,2.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/04,2025/10/28,SO-20251253,PO4056,"Seafloor Systems, Inc.",0,16.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/12,2025/10/24,SO-20251306,PO-036318,ADVANCED TECH & RESEARCH,0,6.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/22,2025/10/28,SO-20251341,PO51658,"Graftek Imaging, Inc.",0,2.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,0,4.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251400,4017695,F.K. MACHINERY LTD.,0,2.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/03,2025/12/31,SO-20251421,PO209761,Noah Medical U.S.,0,4.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/03,2025/12/31,SO-20251422,PO209761,Noah Medical U.S.,0,8.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/03,2025/12/31,SO-20251423,PO209761,Noah Medical U.S.,0,8.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/09,2025/12/31,SO-20251444,1829,"Alta Vision Systems, LLC",0,4.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/09,2025/12/31,SO-20251448,09102025-1,"PitPro Automation, Inc.",0,8.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/09,2025/12/31,SO-20251447,09102025-1,"PitPro Automation, Inc.",0,4.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/10/13,2025/12/31,SO-20251459,1792-58-1,"LM3 Technologies, Inc.",0,2.0,Cbl-MHF-RP_SMAF-30CM,WH01S-NTA,,Out
2025/09/30,2025/10/31,SO-20251391,QTD_IES_2508263,Intelligent Energy Systems,0,2.0,Cbl-MHF-SMAF-30CM1,WH01S-NTA,,Out
2025/10/01,2025/11/07,SO-20251405,PO01892,Jet Stream Systems Inc.,0,1.0,Cbl-MHF-SMAF-30CM1,WH01S-NTA,,Out
2025/09/16,2025/10/31,SO-20251311,14666,The Alliance,0,20.0,Cbl-MHF4-RP_SMAF-15CM,WH01S-NTA,,Out
2025/08/15,2025/10/23,SO-20251167,PO5382,"Dexterity, Inc.",0,2.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/17,SO-20251175,612452,"Uber Technologies, Inc.",0,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251176,612452,"Uber Technologies, Inc.",0,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/10/24,SO-20251177,612452,"Uber Technologies, Inc.",0,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251179,612452,"Uber Technologies, Inc.",0,40.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
2025/08/19,2025/11/14,SO-20251178,612452,"Uber Technologies, Inc.",0,50.0,Cbl-MHF4-RP_SMAF-30CM,WH01S-NTA,,Out
